,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,,
1,2,17,9,7,12,6,11,16,5,13,8,1,4,3,10,15,14,18,4Ê,10
2,7,8,11,2,13,16,17,4,14,1,15,3,9,12,5,10,18,0,13,14
3,16,4,14,18,13,8,1,15,10,6,17,7,12,3,2,9,11,5,1,6
4,13,5,15,12,1,17,11,18,10,9,3,7,16,2,4,14,6,0,5,15
5,10,11,2,3,1,4,14,15,18,7,12,16,8,9,17,13,5,0,1,15
6,5,10,4,12,13,9,14,7,17,16,15,3,8,11,18,6,1,0,10,8
7,5,11,2,18,7,14,6,10,8,12,1,9,17,3,13,4,15,16,5,8
8,15,16,10,1,4,7,11,17,8,3,12,5,9,13,14,0,0,0,15,10
9,2,10,15,7,16,9,12,18,1,11,5,13,4,8,6,14,17,3,10,9
10,6,14,1,4,12,16,7,15,17,18,8,5,11,2,13,10,9,0,1,15
11,15,11,3,14,5,9,6,1,13,17,18,2,4,8,12,7,16,10,1,13
12,7,4,17,11,5,15,9,2,16,6,10,12,18,3,13,8,14,1,2,6
13,9,3,8,5,18,17,2,16,7,6,12,15,10,13,14,11,4,1,9,18
14,8,4,9,2,11,1,18,7,13,12,16,6,5,15,3,10,17,0,2,1
15,8,1,10,16,4,17,9,11,14,12,5,3,2,15,7,18,0,0,8,16
16,6,14,4,12,8,5,13,7,16,15,10,2,3,1,11,9,17,18,6,8
17,16,18,8,7,1,6,5,13,3,10,17,12,2,11,15,4,9,0,16,3
18,18,4,2,14,9,17,3,11,13,5,8,15,6,7,1,12,0,0,9,13
19,16,7,9,2,8,5,1,4,10,17,18,3,11,15,6,13,12,14,10,17
20,12,2,3,8,7,4,10,18,11,1,6,17,5,15,9,14,16,0,12,2
,,,,,,,,,,,,,,,,,,,,
