"","x"
"1",-0.733583333333333
"2",-0.8065
"3",-0.50025
"4",-0.96025
"5",-0.50025
"6",-0.866916666666667
"7",-1.05025
"8",-1.13775
"9",-1.05025
"10",-1.17525
"11",-1.00025
"12",-1.269
"13",-0.40025
"14",-1.32025
"15",-0.60025
"16",-1.3065
"17",-1.25025
"18",-1.40025
"19",-0.436458333333333
"20",-0.283333333333333
"21",-0.513333333333333
"22",-0.283333333333333
"23",-0.466666666666667
"24",-0.558333333333333
"25",-0.602083333333334
"26",-0.558333333333333
"27",-0.620833333333333
"28",-0.533333333333333
"29",-0.667708333333333
"30",-0.233333333333333
"31",-0.693333333333333
"32",-0.333333333333333
"33",-0.686458333333334
"34",-0.658333333333333
"35",-0.733333333333334
"36",-0.35625
"37",-0.58625
"38",-0.35625
"39",-0.539583333333334
"40",-0.63125
"41",-0.675
"42",-0.63125
"43",-0.69375
"44",-0.60625
"45",-0.740625
"46",-0.30625
"47",-0.76625
"48",-0.40625
"49",-0.759375
"50",-0.73125
"51",-0.80625
"52",-0.28
"53",-0.05
"54",-0.233333333333333
"55",-0.325
"56",-0.36875
"57",-0.325
"58",-0.3875
"59",-0.3
"60",-0.434375
"61",0
"62",-0.46
"63",-0.1
"64",-0.453125
"65",-0.425
"66",-0.5
"67",-0.51
"68",-0.693333333333333
"69",-0.785
"70",-0.82875
"71",-0.785
"72",-0.8475
"73",-0.76
"74",-0.894375
"75",-0.46
"76",-0.92
"77",-0.56
"78",-0.913125
"79",-0.885
"80",-0.96
"81",-0.233333333333333
"82",-0.325
"83",-0.36875
"84",-0.325
"85",-0.3875
"86",-0.3
"87",-0.434375
"88",0
"89",-0.46
"90",-0.1
"91",-0.453125
"92",-0.425
"93",-0.5
"94",-0.691666666666667
"95",-0.735416666666667
"96",-0.691666666666667
"97",-0.754166666666667
"98",-0.666666666666667
"99",-0.801041666666667
"100",-0.366666666666667
"101",-0.826666666666667
"102",-0.466666666666667
"103",-0.819791666666667
"104",-0.791666666666667
"105",-0.866666666666667
"106",-0.91875
"107",-0.875
"108",-0.9375
"109",-0.85
"110",-0.984375
"111",-0.55
"112",-1.01
"113",-0.65
"114",-1.003125
"115",-0.975
"116",-1.05
"117",-0.9625
"118",-1.025
"119",-0.9375
"120",-1.071875
"121",-0.6375
"122",-1.0975
"123",-0.7375
"124",-1.090625
"125",-1.0625
"126",-1.1375
"127",-0.9375
"128",-0.85
"129",-0.984375
"130",-0.55
"131",-1.01
"132",-0.65
"133",-1.003125
"134",-0.975
"135",-1.05
"136",-0.975
"137",-1.109375
"138",-0.675
"139",-1.135
"140",-0.775
"141",-1.128125
"142",-1.1
"143",-1.175
"144",-0.934375
"145",-0.5
"146",-0.96
"147",-0.6
"148",-0.953125
"149",-0.925
"150",-1
"151",-0.76875
"152",-1.22875
"153",-0.86875
"154",-1.221875
"155",-1.19375
"156",-1.26875
"157",-0.36
"158",0
"159",-0.353125
"160",-0.325
"161",-0.4
"162",-0.92
"163",-1.273125
"164",-1.245
"165",-1.32
"166",-0.553125
"167",-0.525
"168",-0.6
"169",-1.23125
"170",-1.30625
"171",-1.25
"172",-0.788583333333333
"173",-0.933583333333333
"174",-0.955805555555556
"175",-0.747869047619047
"176",-0.60025
"177",-0.946083333333333
"178",-0.962154761904762
"179",-1.10858333333333
"180",-0.533583333333333
"181",-1.33983333333333
"182",-1.3050119047619
"183",-0.933583333333333
"184",-1.13358333333333
"185",-0.983583333333333
"186",-1.23358333333333
"187",-1.66691666666667
"188",-1.73358333333333
"189",-0.388333333333333
"190",-0.399444444444444
"191",-0.29547619047619
"192",-0.221666666666667
"193",-0.394583333333333
"194",-0.402619047619048
"195",-0.475833333333333
"196",-0.188333333333333
"197",-0.591458333333333
"198",-0.574047619047619
"199",-0.388333333333333
"200",-0.488333333333333
"201",-0.413333333333333
"202",-0.538333333333333
"203",-0.755
"204",-0.788333333333333
"205",-0.544444444444444
"206",-0.44047619047619
"207",-0.366666666666667
"208",-0.539583333333333
"209",-0.547619047619047
"210",-0.620833333333333
"211",-0.333333333333333
"212",-0.736458333333333
"213",-0.719047619047619
"214",-0.533333333333333
"215",-0.633333333333333
"216",-0.558333333333333
"217",-0.683333333333333
"218",-0.9
"219",-0.933333333333333
"220",-0.462698412698413
"221",-0.388888888888889
"222",-0.561805555555555
"223",-0.56984126984127
"224",-0.643055555555555
"225",-0.355555555555556
"226",-0.758680555555556
"227",-0.741269841269841
"228",-0.555555555555556
"229",-0.655555555555555
"230",-0.580555555555555
"231",-0.705555555555555
"232",-0.922222222222222
"233",-0.955555555555556
"234",-0.180952380952381
"235",-0.353869047619047
"236",-0.361904761904762
"237",-0.435119047619047
"238",-0.147619047619048
"239",-0.550744047619047
"240",-0.533333333333333
"241",-0.347619047619047
"242",-0.447619047619047
"243",-0.372619047619047
"244",-0.497619047619047
"245",-0.714285714285714
"246",-0.747619047619048
"247",-0.20625
"248",-0.214285714285714
"249",-0.2875
"250",0
"251",-0.403125
"252",-0.385714285714286
"253",-0.2
"254",-0.3
"255",-0.225
"256",-0.35
"257",-0.566666666666667
"258",-0.6
"259",-0.560119047619048
"260",-0.633333333333333
"261",-0.345833333333333
"262",-0.748958333333333
"263",-0.731547619047619
"264",-0.545833333333333
"265",-0.645833333333333
"266",-0.570833333333333
"267",-0.695833333333333
"268",-0.9125
"269",-0.945833333333333
"270",-0.649404761904762
"271",-0.361904761904762
"272",-0.765029761904762
"273",-0.747619047619048
"274",-0.561904761904762
"275",-0.661904761904762
"276",-0.586904761904762
"277",-0.711904761904762
"278",-0.928571428571429
"279",-0.961904761904762
"280",-0.508333333333333
"281",-0.911458333333333
"282",-0.894047619047619
"283",-0.708333333333333
"284",-0.808333333333333
"285",-0.733333333333333
"286",-0.858333333333333
"287",-1.075
"288",-1.10833333333333
"289",-0.336458333333333
"290",-0.319047619047619
"291",-0.133333333333333
"292",-0.233333333333333
"293",-0.158333333333333
"294",-0.283333333333333
"295",-0.5
"296",-0.533333333333333
"297",-1.12529761904762
"298",-0.939583333333333
"299",-1.03958333333333
"300",-0.964583333333333
"301",-1.08958333333333
"302",-1.30625
"303",-1.33958333333333
"304",-0.904761904761905
"305",-1.0047619047619
"306",-0.929761904761905
"307",-1.0547619047619
"308",-1.27142857142857
"309",-1.30476190476191
"310",-0.633333333333333
"311",-0.558333333333333
"312",-0.683333333333333
"313",-0.9
"314",-0.933333333333333
"315",-0.758333333333333
"316",-0.883333333333333
"317",-1.1
"318",-1.13333333333333
"319",-0.733333333333333
"320",-0.95
"321",-0.983333333333333
"322",-1.2
"323",-1.23333333333333
"324",-1.66666666666667
"325",-0.92525
"326",-0.768107142857143
"327",-0.87525
"328",-0.891916666666667
"329",-0.65025
"330",-1.05025
"331",-0.52525
"332",-0.62525
"333",-1.05025
"334",-0.57525
"335",-0.991916666666667
"336",-1.10025
"337",-1.49667857142857
"338",-1.25025
"339",-1.02525
"340",-1.17525
"341",-1.42525
"342",-1.62525
"343",-0.496428571428571
"344",-0.55
"345",-0.558333333333333
"346",-0.4375
"347",-0.6375
"348",-0.375
"349",-0.425
"350",-0.6375
"351",-0.4
"352",-0.608333333333333
"353",-0.6625
"354",-0.860714285714286
"355",-0.7375
"356",-0.625
"357",-0.7
"358",-0.825
"359",-0.925
"360",-0.392857142857143
"361",-0.401190476190476
"362",-0.280357142857143
"363",-0.480357142857143
"364",-0.217857142857143
"365",-0.267857142857143
"366",-0.480357142857143
"367",-0.242857142857143
"368",-0.451190476190476
"369",-0.505357142857143
"370",-0.703571428571429
"371",-0.580357142857143
"372",-0.467857142857143
"373",-0.542857142857143
"374",-0.667857142857143
"375",-0.767857142857143
"376",-0.508333333333333
"377",-0.3875
"378",-0.5875
"379",-0.325
"380",-0.375
"381",-0.5875
"382",-0.35
"383",-0.558333333333333
"384",-0.6125
"385",-0.810714285714286
"386",-0.6875
"387",-0.575
"388",-0.65
"389",-0.775
"390",-0.875
"391",-0.404166666666667
"392",-0.604166666666667
"393",-0.341666666666667
"394",-0.391666666666667
"395",-0.604166666666667
"396",-0.366666666666667
"397",-0.575
"398",-0.629166666666667
"399",-0.827380952380952
"400",-0.704166666666667
"401",-0.591666666666667
"402",-0.666666666666667
"403",-0.791666666666667
"404",-0.891666666666667
"405",-0.3625
"406",-0.0999999999999999
"407",-0.15
"408",-0.3625
"409",-0.125
"410",-0.333333333333333
"411",-0.3875
"412",-0.585714285714286
"413",-0.4625
"414",-0.35
"415",-0.425
"416",-0.55
"417",-0.65
"418",-0.5
"419",-0.55
"420",-0.7625
"421",-0.525
"422",-0.733333333333333
"423",-0.7875
"424",-0.985714285714286
"425",-0.8625
"426",-0.75
"427",-0.825
"428",-0.95
"429",-1.05
"430",-0.0249999999999999
"431",-0.2375
"432",0
"433",-0.208333333333333
"434",-0.2625
"435",-0.460714285714286
"436",-0.3375
"437",-0.225
