"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
10,25,18,12,2,12,3,11,10,10,3,20,7,3,6,20,6,11
14,7,12,18,13,9,6,9,24,5,5,2,19,24,0,6,4,19
21,2,12,15,7,16,17,8,21,25,23,2,21,13,2,8,8,12
3,22,10,4,16,3,13,10,2,7,2,3,16,8,14,10,9,23
16,6,12,0,3,4,9,5,21,4,19,25,7,16,5,20,16,3
16,17,20,20,9,24,1,1,23,8,4,7,16,24,24,22,24,10
12,20,9,19,10,2,5,22,8,15,13,4,22,20,0,9,15,14
10,15,10,1,21,23,10,11,21,21,3,8,18,8,19,6,25,8
23,25,20,15,20,21,15,0,23,17,14,4,12,10,18,19,23,15
12,17,22,17,11,12,25,8,17,6,13,11,8,25,15,9,3,25
9,13,5,13,19,16,5,22,6,25,0,22,25,8,23,3,20,14
1,17,6,17,13,7,11,5,11,20,24,15,17,0,25,14,11,2
11,21,13,2,1,2,2,5,2,9,15,6,17,9,2,18,1,25
14,17,12,16,18,5,6,2,18,6,4,19,21,21,1,24,9,6
23,0,3,9,12,8,0,23,2,13,21,14,4,16,17,2,23,12
18,21,2,7,0,25,13,2,8,9,12,2,6,21,13,11,10,18
20,1,11,10,8,14,20,11,17,23,11,16,9,6,5,1,2,24
3,11,13,19,6,7,15,18,8,3,19,5,7,13,7,2,1,25
14,23,8,7,3,7,16,16,2,1,23,6,13,23,17,21,14,21
11,3,15,8,16,0,3,7,23,24,18,3,0,19,1,4,10,13
7,21,20,9,5,11,10,9,10,4,14,12,22,20,25,7,17,6
